#label	date
SUPERFAKER	1968.5
16676_1	1976.9167
22323_0	1976.9792
20435_1	1978.9375
22227_1	1979.875
23817_0	1979.9583
19860_0	1980.2292
14565_1	1980.7083
23260_0	1980.7292
22532_1	1981.0625
18780_0	1981.1042
19639_0	1981.1458
15893_0	1981.4167
14483_0	1981.5833
20972_1	1981.7083
16349_1	1981.75
20040_1	1981.9583
12663_0	1982.125
13614_1	1982.3542
23237_1	1982.5
10048_0	1982.5625
24936_1	1982.6458
23873_0	1982.6667
25377_1	1982.7083
24965_1	1982.75
16697_1	1982.75
23257_0	1982.8542
14101_0	1982.8542
25667_1	1983.0
22234_1	1983.2292
24378_0	1983.375
12724_1	1983.5625
11895_0	1983.8958
26271_0	1984.0417
30536_1	1984.2708
20296_1	1984.5
25206_1	1985.0208
8946_0	1985.0833
17927_0	1985.1667
32883_0	1985.4375
29400_1	1985.4792
14202_0	1985.8958
28620_1	1985.9583
12997_0	1986.3333
33037_1	1986.3542
28068_1	1986.5
28816_0	1986.8542
31882_0	1987.0417
32702_0	1987.25
21563_1	1987.75
25860_0	1988.0417
33705_0	1988.1875
35353_0	1988.2083
35098_0	1988.3542
9761_1	1988.5417
31217_1	1988.7292
30868_1	1988.8125
35806_0	1988.9375
35608_0	1989.125
22611_0	1989.1667
33200_0	1989.6667
23622_1	1989.7917
10897_1	1990.0
37732_1	1990.0208
16991_1	1990.6042
28715_1	1990.7292
8869_0	1990.9792
14663_1	1991.0208
39317_1	1991.2917
15405_1	1991.375
22365_0	1991.375
36249_0	1991.5833
37119_0	1991.6458
24661_0	1991.7292
18942_1	1992.0417
17264_0	1992.1667
27586_0	1992.2708
12440_0	1992.75
32209_0	1992.7708
37026_0	1992.9792
35271_0	1993.2917
17868_0	1993.375
36890_0	1993.6458
32179_0	1993.7292
36711_0	1993.7708
37127_0	1993.9583
40468_0	1994.1458
33938_0	1994.5
41407_0	1994.9167
18566_1	1995.0417
42628_0	1995.1042
39068_1	1995.1875
37384_0	1995.4167
39437_1	1995.6875
29636_1	1995.8333
37343_1	1996.2917
27972_1	1996.6458
14106_0	1996.875
30685_0	1996.8958
40466_0	1996.9375
40319_0	1997.1042
39765_1	1997.375
44519_1	1997.4792
15862_1	1997.5
26777_1	1997.625
48120_0	1997.7917
42428_0	1997.8958
31644_0	1997.9583
46840_0	1997.9792
15580_0	1998.1042
19441_0	1998.2292
44562_0	1998.3333
47984_1	1998.75
27526_1	1998.7917
44303_1	1998.8333
31168_0	1998.9583
34539_0	1999.0
46502_0	1999.1667
16440_0	1999.3542
17526_1	1999.4792
18391_1	1999.6042
39501_0	1999.6458
34368_0	1999.7708
