Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,2169,0,1094,0,1075,0,0,0,0,0,0,0,0,0,0.0603,0,0,0,32,0.5145,0.4283,0.0572,0.0000,0.0000,0.0000,0,0,0,0,0,0,206,172,193,204,153,87,79,215,166,184,212,135,87,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,2296,0,1160,0,1136,0,0,0,0,0,0,0,0,0,0.0586,0,0,0,67,0.5105,0.4325,0.0571,0.0000,0.0000,0.0000,0,0,0,0,0,0,241,178,194,215,162,86,84,249,164,201,211,146,85,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,2445,0,1227,0,1218,0,0,0,0,0,0,0,0,0,0.0579,0,0,0,105,0.5100,0.4339,0.0560,0.0000,0.0000,0.0000,0,0,0,0,0,0,286,177,207,213,167,88,89,310,170,208,216,141,93,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,2566,0,1290,0,1276,0,0,0,0,0,0,0,0,0,0.0566,0,0,0,141,0.5055,0.4353,0.0592,0.0000,0.0000,0.0000,0,0,0,0,0,0,323,186,216,203,179,92,91,342,185,203,225,141,95,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,2708,0,1368,0,1340,0,0,0,0,0,0,0,0,0,0.0577,0,0,0,177,0.5114,0.4309,0.0576,0.0000,0.0000,0.0000,0,0,0,0,0,0,342,231,210,209,183,101,92,337,240,203,222,154,98,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,2858,0,1446,0,1412,0,0,0,0,0,0,0,0,0,0.0581,0,0,0,218,0.5112,0.4304,0.0584,0.0000,0.0000,0.0000,0,0,0,0,0,0,353,279,215,226,175,100,98,351,281,211,228,155,100,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,2996,0,1516,0,1480,0,0,0,0,0,0,0,0,0,0.0580,0,0,0,267,0.5117,0.4316,0.0567,0.0000,0.0000,0.0000,0,0,0,0,0,0,366,312,230,234,177,97,100,340,334,227,226,162,104,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,3114,0,1566,0,1548,0,0,0,0,0,0,0,0,0,0.0587,0,0,0,308,0.5112,0.4313,0.0575,0.0000,0.0000,0.0000,0,0,0,0,0,0,359,354,236,244,175,106,92,347,370,235,241,162,111,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,3231,0,1633,0,1598,0,0,0,0,0,0,0,0,0,0.0606,0,0,0,347,0.5101,0.4318,0.0582,0.0000,0.0000,0.0000,0,0,0,0,0,0,355,399,232,269,175,112,91,329,418,228,259,171,116,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,3373,0,1703,0,1670,0,0,0,0,0,0,0,0,0,0.0664,0,0,0,398,0.5117,0.4293,0.0590,0.0000,0.0000,0.0000,0,0,0,0,0,0,356,421,272,274,171,118,91,333,416,282,265,179,119,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
