Time,Year,Timestep,N_m,N_f,NPos_m,NPos_f,N_knowpos_m,N_knowpos_f,NART_m,NART_f,NVS_m,NVS_f,NNotKnowStatus_m,NNotKnowStatus_f,PropMenCirc,Cumulative_Infected_m,Cumulative_Infected_f
1975.0833,1975,4,8638,8749,2,8,0,0,0,0,0,0,2,8,0.0710,2,8
1975.1667,1975,8,8664,8769,3,8,0,0,0,0,0,0,3,8,0.0711,3,8
1975.2500,1975,12,8683,8797,3,8,0,0,0,0,0,0,3,8,0.0711,3,8
1975.3333,1975,16,8701,8812,3,8,0,0,0,0,0,0,3,8,0.0709,3,8
1975.4167,1975,20,8711,8834,3,8,0,0,0,0,0,0,3,8,0.0709,3,8
1975.5000,1975,24,8734,8855,5,8,0,0,0,0,0,0,5,8,0.0708,5,8
1975.5833,1975,28,8754,8869,5,9,0,0,0,0,0,0,5,9,0.0705,5,9
1975.6667,1975,32,8779,8893,5,9,0,0,0,0,0,0,5,9,0.0709,5,9
1975.7500,1975,36,8790,8910,5,10,0,0,0,0,0,0,5,10,0.0705,5,10
1975.8333,1975,40,8799,8933,6,11,0,0,0,0,0,0,6,11,0.0702,6,11
1975.9167,1975,44,8819,8948,7,11,0,0,0,0,0,0,7,11,0.0704,7,11
1976.0000,1976,0,8840,8960,7,11,0,0,0,0,0,0,7,11,0.0702,7,11
1976.0833,1976,4,8872,8982,14,14,0,0,0,0,0,0,14,14,0.0702,14,14
1976.1667,1976,8,8888,9003,14,14,0,0,0,0,0,0,14,14,0.0704,14,14
1976.2500,1976,12,8892,9023,14,14,0,0,0,0,0,0,14,14,0.0703,14,14
1976.3333,1976,16,8920,9042,14,14,0,0,0,0,0,0,14,14,0.0702,14,14
1976.4167,1976,20,8952,9063,15,15,0,0,0,0,0,0,15,15,0.0703,15,15
1976.5000,1976,24,8986,9100,16,15,0,0,0,0,0,0,16,15,0.0706,16,15
1976.5833,1976,28,9015,9133,16,16,0,0,0,0,0,0,16,16,0.0703,16,16
1976.6667,1976,32,9034,9155,18,17,0,0,0,0,0,0,18,17,0.0703,18,17
1976.7500,1976,36,9055,9176,22,20,0,0,0,0,0,0,22,20,0.0702,22,20
1976.8333,1976,40,9080,9207,23,22,0,0,0,0,0,0,23,22,0.0703,23,22
1976.9167,1976,44,9099,9242,24,22,0,0,0,0,0,0,24,22,0.0702,24,22
1977.0000,1977,0,9111,9264,25,22,0,0,0,0,0,0,25,22,0.0704,25,22
1977.0833,1977,4,9132,9286,27,26,0,0,0,0,0,0,27,26,0.0703,27,26
1977.1667,1977,8,9146,9317,28,27,0,0,0,0,0,0,28,27,0.0704,29,27
1977.2500,1977,12,9171,9325,28,27,0,0,0,0,0,0,28,27,0.0703,29,27
1977.3333,1977,16,9196,9352,29,27,0,0,0,0,0,0,29,27,0.0702,30,27
1977.4167,1977,20,9224,9386,31,27,0,0,0,0,0,0,31,27,0.0700,32,27
1977.5000,1977,24,9247,9415,32,27,0,0,0,0,0,0,32,27,0.0699,33,27
1977.5833,1977,28,9274,9433,32,28,0,0,0,0,0,0,32,28,0.0700,33,28
1977.6667,1977,32,9290,9467,32,29,0,0,0,0,0,0,32,29,0.0702,33,29
1977.7500,1977,36,9330,9507,32,30,0,0,0,0,0,0,32,30,0.0701,33,30
1977.8333,1977,40,9359,9526,31,30,0,0,0,0,0,0,31,30,0.0700,33,30
1977.9167,1977,44,9377,9552,31,30,0,0,0,0,0,0,31,30,0.0700,33,30
1978.0000,1978,0,9391,9565,31,30,0,0,0,0,0,0,31,30,0.0699,33,30
1978.0833,1978,4,9413,9578,36,34,0,0,0,0,0,0,36,34,0.0699,38,34
1978.1667,1978,8,9442,9601,37,34,0,0,0,0,0,0,37,34,0.0697,39,34
1978.2500,1978,12,9474,9632,37,34,0,0,0,0,0,0,37,34,0.0696,39,34
1978.3333,1978,16,9507,9644,37,35,0,0,0,0,0,0,37,35,0.0697,39,35
1978.4167,1978,20,9531,9673,38,35,0,0,0,0,0,0,38,35,0.0698,40,36
1978.5000,1978,24,9562,9706,40,36,0,0,0,0,0,0,40,36,0.0694,42,37
1978.5833,1978,28,9593,9731,40,37,0,0,0,0,0,0,40,37,0.0695,42,38
1978.6667,1978,32,9615,9755,42,38,0,0,0,0,0,0,42,38,0.0696,44,39
1978.7500,1978,36,9647,9785,42,38,0,0,0,0,0,0,42,38,0.0696,44,39
1978.8333,1978,40,9663,9813,43,40,0,0,0,0,0,0,43,40,0.0693,45,41
1978.9167,1978,44,9696,9838,44,40,0,0,0,0,0,0,44,40,0.0694,46,41
1979.0000,1979,0,9719,9856,44,40,0,0,0,0,0,0,44,40,0.0690,46,41
1979.0833,1979,4,9740,9885,51,44,0,0,0,0,0,0,51,44,0.0692,53,45
1979.1667,1979,8,9754,9920,52,43,0,0,0,0,0,0,52,43,0.0693,54,45
1979.2500,1979,12,9774,9948,54,45,0,0,0,0,0,0,54,45,0.0693,57,47
1979.3333,1979,16,9809,9989,54,46,0,0,0,0,0,0,54,46,0.0693,57,48
1979.4167,1979,20,9833,10019,55,47,0,0,0,0,0,0,55,47,0.0693,58,49
1979.5000,1979,24,9855,10037,56,50,0,0,0,0,0,0,56,50,0.0693,59,52
1979.5833,1979,28,9887,10063,59,51,0,0,0,0,0,0,59,51,0.0690,62,53
1979.6667,1979,32,9911,10093,62,53,0,0,0,0,0,0,62,53,0.0690,65,55
1979.7500,1979,36,9939,10127,64,53,0,0,0,0,0,0,64,53,0.0689,67,55
1979.8333,1979,40,9977,10149,65,56,0,0,0,0,0,0,65,56,0.0689,68,58
1979.9167,1979,44,10002,10176,65,57,0,0,0,0,0,0,65,57,0.0688,68,59
1980.0000,1980,0,10026,10204,68,60,0,0,0,0,0,0,68,60,0.0688,71,62
1980.0833,1980,4,10044,10230,82,68,0,0,0,0,0,0,82,68,0.0688,86,70
1980.1667,1980,8,10074,10272,85,71,0,0,0,0,0,0,85,71,0.0693,89,73
1980.2500,1980,12,10104,10302,86,74,0,0,0,0,0,0,86,74,0.0689,91,76
1980.3333,1980,16,10133,10325,88,77,0,0,0,0,0,0,88,77,0.0691,93,79
1980.4167,1980,20,10160,10347,89,80,0,0,0,0,0,0,89,80,0.0692,95,82
1980.5000,1980,24,10193,10379,91,82,0,0,0,0,0,0,91,82,0.0694,97,84
1980.5833,1980,28,10225,10406,92,82,0,0,0,0,0,0,92,82,0.0693,98,86
1980.6667,1980,32,10245,10449,92,83,0,0,0,0,0,0,92,83,0.0696,99,87
1980.7500,1980,36,10272,10474,96,87,0,0,0,0,0,0,96,87,0.0694,103,91
1980.8333,1980,40,10301,10513,105,89,0,0,0,0,0,0,105,89,0.0694,112,93
1980.9167,1980,44,10323,10548,104,93,0,0,0,0,0,0,104,93,0.0695,112,97
1981.0000,1981,0,10339,10582,107,94,0,0,0,0,0,0,107,94,0.0693,115,98
1981.0833,1981,4,10362,10605,110,98,0,0,0,0,0,0,110,98,0.0692,118,102
1981.1667,1981,8,10400,10631,113,102,0,0,0,0,0,0,113,102,0.0690,121,106
1981.2500,1981,12,10439,10666,119,107,0,0,0,0,0,0,119,107,0.0689,127,111
1981.3333,1981,16,10473,10693,123,110,0,0,0,0,0,0,123,110,0.0687,131,114
1981.4167,1981,20,10499,10729,127,112,0,0,0,0,0,0,127,112,0.0689,135,117
1981.5000,1981,24,10529,10765,132,113,0,0,0,0,0,0,132,113,0.0687,140,119
1981.5833,1981,28,10560,10790,135,116,0,0,0,0,0,0,135,116,0.0685,145,123
1981.6667,1981,32,10582,10820,140,119,0,0,0,0,0,0,140,119,0.0685,150,127
1981.7500,1981,36,10612,10865,142,122,0,0,0,0,0,0,142,122,0.0688,152,130
1981.8333,1981,40,10641,10896,146,124,0,0,0,0,0,0,146,124,0.0687,157,132
1981.9167,1981,44,10668,10921,148,133,0,0,0,0,0,0,148,133,0.0687,159,141
1982.0000,1982,0,10699,10954,155,136,0,0,0,0,0,0,155,136,0.0688,166,144
1982.0833,1982,4,10727,10986,161,140,0,0,0,0,0,0,161,140,0.0689,173,148
1982.1667,1982,8,10773,11017,166,146,0,0,0,0,0,0,166,146,0.0692,179,154
1982.2500,1982,12,10805,11050,174,148,0,0,0,0,0,0,174,148,0.0689,188,157
1982.3333,1982,16,10849,11078,181,152,0,0,0,0,0,0,181,152,0.0690,195,161
1982.4167,1982,20,10895,11096,188,154,0,0,0,0,0,0,188,154,0.0690,202,163
1982.5000,1982,24,10924,11107,194,160,0,0,0,0,0,0,194,160,0.0692,208,169
1982.5833,1982,28,10963,11137,199,165,0,0,0,0,0,0,199,165,0.0692,213,175
1982.6667,1982,32,10998,11159,203,172,0,0,0,0,0,0,203,172,0.0693,219,182
1982.7500,1982,36,11029,11183,214,175,0,0,0,0,0,0,214,175,0.0691,230,188
1982.8333,1982,40,11066,11217,218,177,0,0,0,0,0,0,218,177,0.0689,234,191
1982.9167,1982,44,11109,11244,225,182,0,0,0,0,0,0,225,182,0.0690,241,197
1983.0000,1983,0,11135,11274,231,190,0,0,0,0,0,0,231,190,0.0688,248,206
1983.0833,1983,4,11155,11316,236,196,0,0,0,0,0,0,236,196,0.0689,254,213
1983.1667,1983,8,11191,11353,244,203,0,0,0,0,0,0,244,203,0.0689,263,220
1983.2500,1983,12,11222,11378,247,210,0,0,0,0,0,0,247,210,0.0690,267,228
1983.3333,1983,16,11251,11400,254,215,0,0,0,0,0,0,254,215,0.0689,274,234
1983.4167,1983,20,11285,11437,253,221,0,0,0,0,0,0,253,221,0.0689,278,241
