Time,Year,Timestep,N_m,N_f,NPos_m,NPos_f,N_knowpos_m,N_knowpos_f,NART_m,NART_f,NVS_m,NVS_f,NNotKnowStatus_m,NNotKnowStatus_f,PropMenCirc,Cumulative_Infected_m,Cumulative_Infected_f
1975.0833,1975,4,9128,9415,3,3,0,0,0,0,0,0,3,3,0.0616,3,3
1975.1667,1975,8,9146,9433,3,3,0,0,0,0,0,0,3,3,0.0618,3,3
1975.2500,1975,12,9157,9456,3,4,0,0,0,0,0,0,3,4,0.0616,3,4
1975.3333,1975,16,9183,9482,3,5,0,0,0,0,0,0,3,5,0.0615,3,5
1975.4167,1975,20,9204,9515,3,5,0,0,0,0,0,0,3,5,0.0614,3,5
1975.5000,1975,24,9227,9543,3,5,0,0,0,0,0,0,3,5,0.0610,3,5
1975.5833,1975,28,9246,9565,3,5,0,0,0,0,0,0,3,5,0.0611,3,5
1975.6667,1975,32,9273,9585,3,5,0,0,0,0,0,0,3,5,0.0609,3,5
1975.7500,1975,36,9300,9602,3,5,0,0,0,0,0,0,3,5,0.0610,3,5
1975.8333,1975,40,9317,9616,3,5,0,0,0,0,0,0,3,5,0.0610,3,5
1975.9167,1975,44,9335,9633,4,5,0,0,0,0,0,0,4,5,0.0607,4,5
1976.0000,1976,0,9357,9655,4,5,0,0,0,0,0,0,4,5,0.0611,4,5
1976.0833,1976,4,9394,9687,6,7,0,0,0,0,0,0,6,7,0.0613,6,7
1976.1667,1976,8,9409,9706,7,9,0,0,0,0,0,0,7,9,0.0613,7,9
1976.2500,1976,12,9423,9723,8,9,0,0,0,0,0,0,8,9,0.0613,8,9
1976.3333,1976,16,9440,9750,8,9,0,0,0,0,0,0,8,9,0.0612,8,9
1976.4167,1976,20,9464,9783,8,9,0,0,0,0,0,0,8,9,0.0613,8,9
1976.5000,1976,24,9501,9807,8,9,0,0,0,0,0,0,8,9,0.0612,8,9
1976.5833,1976,28,9530,9833,9,10,0,0,0,0,0,0,9,10,0.0614,9,10
1976.6667,1976,32,9547,9847,9,11,0,0,0,0,0,0,9,11,0.0612,9,11
1976.7500,1976,36,9576,9864,10,11,0,0,0,0,0,0,10,11,0.0613,10,11
1976.8333,1976,40,9601,9897,10,12,0,0,0,0,0,0,10,12,0.0615,10,12
1976.9167,1976,44,9620,9928,11,12,0,0,0,0,0,0,11,12,0.0617,11,12
1977.0000,1977,0,9646,9953,11,12,0,0,0,0,0,0,11,12,0.0617,11,12
1977.0833,1977,4,9679,9973,13,14,0,0,0,0,0,0,13,14,0.0615,13,14
1977.1667,1977,8,9703,10008,13,14,0,0,0,0,0,0,13,14,0.0616,13,14
1977.2500,1977,12,9727,10027,13,14,0,0,0,0,0,0,13,14,0.0622,13,14
1977.3333,1977,16,9740,10062,13,15,0,0,0,0,0,0,13,15,0.0624,13,15
1977.4167,1977,20,9767,10084,15,18,0,0,0,0,0,0,15,18,0.0627,15,18
1977.5000,1977,24,9812,10115,16,19,0,0,0,0,0,0,16,19,0.0627,16,19
1977.5833,1977,28,9839,10142,16,20,0,0,0,0,0,0,16,20,0.0625,16,20
1977.6667,1977,32,9868,10174,17,20,0,0,0,0,0,0,17,20,0.0624,17,20
1977.7500,1977,36,9890,10206,19,20,0,0,0,0,0,0,19,20,0.0624,19,20
1977.8333,1977,40,9919,10228,19,21,0,0,0,0,0,0,19,21,0.0625,19,21
1977.9167,1977,44,9947,10243,19,21,0,0,0,0,0,0,19,21,0.0624,19,21
1978.0000,1978,0,9971,10261,20,21,0,0,0,0,0,0,20,21,0.0626,20,21
1978.0833,1978,4,10008,10279,23,26,0,0,0,0,0,0,23,26,0.0626,23,26
1978.1667,1978,8,10037,10296,23,26,0,0,0,0,0,0,23,26,0.0625,23,26
1978.2500,1978,12,10062,10317,22,26,0,0,0,0,0,0,22,26,0.0624,23,26
1978.3333,1978,16,10100,10326,23,29,0,0,0,0,0,0,23,29,0.0624,24,29
1978.4167,1978,20,10127,10349,23,28,0,0,0,0,0,0,23,28,0.0625,24,29
1978.5000,1978,24,10160,10375,24,29,0,0,0,0,0,0,24,29,0.0624,25,30
1978.5833,1978,28,10189,10400,24,29,0,0,0,0,0,0,24,29,0.0621,25,30
