Time,Year,Timestep,N_m,N_f,NPos_m,NPos_f,N_knowpos_m,N_knowpos_f,NART_m,NART_f,NVS_m,NVS_f,NNotKnowStatus_m,NNotKnowStatus_f,PropMenCirc,Cumulative_Infected_m,Cumulative_Infected_f
1975.0833,1975,4,5260,5309,6,10,0,0,0,0,0,0,6,10,0.0684,6,10
1975.1667,1975,8,5278,5321,6,10,0,0,0,0,0,0,6,10,0.0690,6,10
1975.2500,1975,12,5289,5326,6,10,0,0,0,0,0,0,6,10,0.0690,6,10
1975.3333,1975,16,5303,5343,7,11,0,0,0,0,0,0,7,11,0.0688,7,11
1975.4167,1975,20,5328,5370,8,13,0,0,0,0,0,0,8,13,0.0683,8,13
1975.5000,1975,24,5340,5378,9,13,0,0,0,0,0,0,9,13,0.0685,9,13
1975.5833,1975,28,5347,5387,9,13,0,0,0,0,0,0,9,13,0.0684,9,13
1975.6667,1975,32,5370,5409,10,13,0,0,0,0,0,0,10,13,0.0685,10,13
1975.7500,1975,36,5376,5418,10,14,0,0,0,0,0,0,10,14,0.0686,10,14
1975.8333,1975,40,5395,5437,10,17,0,0,0,0,0,0,10,17,0.0684,10,16
1975.9167,1975,44,5414,5457,10,18,0,0,0,0,0,0,10,18,0.0682,10,17
1976.0000,1976,0,5422,5454,11,18,0,0,0,0,0,0,11,18,0.0682,11,17
1976.0833,1976,4,5428,5466,20,25,0,0,0,0,0,0,20,25,0.0689,20,24
1976.1667,1976,8,5436,5489,21,27,0,0,0,0,0,0,21,27,0.0686,21,26
1976.2500,1976,12,5451,5490,21,28,0,0,0,0,0,0,21,28,0.0684,21,27
1976.3333,1976,16,5464,5509,21,28,0,0,0,0,0,0,21,28,0.0686,21,27
1976.4167,1976,20,5477,5530,23,30,0,0,0,0,0,0,23,30,0.0685,23,28
1976.5000,1976,24,5477,5530,25,32,0,0,0,0,0,0,25,32,0.0687,25,30
1976.5833,1976,28,5485,5549,28,34,0,0,0,0,0,0,28,34,0.0687,28,32
1976.6667,1976,32,5517,5573,28,36,0,0,0,0,0,0,28,36,0.0678,28,34
1976.7500,1976,36,5523,5581,33,37,0,0,0,0,0,0,33,37,0.0677,33,35
1976.8333,1976,40,5531,5586,38,40,0,0,0,0,0,0,38,40,0.0674,38,38
1976.9167,1976,44,5554,5612,40,42,0,0,0,0,0,0,40,42,0.0672,40,40
1977.0000,1977,0,5557,5615,42,45,0,0,0,0,0,0,42,45,0.0675,42,43
1977.0833,1977,4,5572,5633,59,62,0,0,0,0,0,0,59,62,0.0684,59,60
1977.1667,1977,8,5610,5646,63,65,0,0,0,0,0,0,63,65,0.0683,63,63
1977.2500,1977,12,5623,5651,62,68,0,0,0,0,0,0,62,68,0.0679,63,66
1977.3333,1977,16,5631,5671,65,71,0,0,0,0,0,0,65,71,0.0678,65,69
1977.4167,1977,20,5646,5691,71,76,0,0,0,0,0,0,71,76,0.0671,71,74
1977.5000,1977,24,5655,5704,75,79,0,0,0,0,0,0,75,79,0.0668,75,77
1977.5833,1977,28,5681,5709,81,82,0,0,0,0,0,0,81,82,0.0671,81,81
1977.6667,1977,32,5697,5731,88,89,0,0,0,0,0,0,88,89,0.0667,89,88
1977.7500,1977,36,5703,5744,91,100,0,0,0,0,0,0,91,100,0.0668,92,99
1977.8333,1977,40,5721,5769,97,106,0,0,0,0,0,0,97,106,0.0668,97,104
1977.9167,1977,44,5749,5794,108,119,0,0,0,0,0,0,108,119,0.0668,108,117
1978.0000,1978,0,5753,5801,114,123,0,0,0,0,0,0,114,123,0.0666,114,121
1978.0833,1978,4,5773,5815,136,140,0,0,0,0,0,0,136,140,0.0663,135,137
1978.1667,1978,8,5807,5837,146,146,0,0,0,0,0,0,146,146,0.0661,144,143
1978.2500,1978,12,5820,5850,154,154,0,0,0,0,0,0,154,154,0.0658,153,152
1978.3333,1978,16,5834,5870,163,165,0,0,0,0,0,0,163,165,0.0656,163,164
1978.4167,1978,20,5866,5891,175,167,0,0,0,0,0,0,175,167,0.0658,175,168
1978.5000,1978,24,5881,5893,190,179,0,0,0,0,0,0,190,179,0.0660,189,180
1978.5833,1978,28,5888,5912,202,188,0,0,0,0,0,0,202,188,0.0661,202,190
1978.6667,1978,32,5903,5939,212,206,0,0,0,0,0,0,212,206,0.0666,214,206
1978.7500,1978,36,5910,5948,221,213,0,0,0,0,0,0,221,213,0.0665,225,214
1978.8333,1978,40,5947,5959,235,219,0,0,0,0,0,0,235,219,0.0663,241,220
1978.9167,1978,44,5974,5980,242,230,0,0,0,0,0,0,242,230,0.0663,248,230
1979.0000,1979,0,5981,5997,250,235,0,0,0,0,0,0,250,235,0.0667,257,235
1979.0833,1979,4,5990,6007,265,255,0,0,0,0,0,0,265,255,0.0661,273,255
1979.1667,1979,8,6014,6026,274,263,0,0,0,0,0,0,274,263,0.0660,281,262
1979.2500,1979,12,6030,6037,283,269,0,0,0,0,0,0,283,269,0.0660,290,267
1979.3333,1979,16,6045,6048,291,278,0,0,0,0,0,0,291,278,0.0667,298,277
1979.4167,1979,20,6062,6069,303,292,0,0,0,0,0,0,303,292,0.0663,310,292
1979.5000,1979,24,6066,6090,318,304,0,0,0,0,0,0,318,304,0.0663,329,304
1979.5833,1979,28,6082,6104,332,315,0,0,0,0,0,0,332,315,0.0664,345,316
1979.6667,1979,32,6113,6125,335,324,0,0,0,0,0,0,335,324,0.0661,350,327
1979.7500,1979,36,6121,6130,347,337,0,0,0,0,0,0,347,337,0.0658,365,339
1979.8333,1979,40,6125,6148,354,350,0,0,0,0,0,0,354,350,0.0653,372,350
1979.9167,1979,44,6157,6158,366,366,0,0,0,0,0,0,366,366,0.0650,386,365
1980.0000,1980,0,6167,6168,377,376,0,0,0,0,0,0,377,376,0.0649,398,378
1980.0833,1980,4,6188,6184,394,409,0,0,0,0,0,0,394,409,0.0654,418,409
1980.1667,1980,8,6201,6224,400,420,0,0,0,0,0,0,400,420,0.0658,425,420
1980.2500,1980,12,6205,6234,415,428,0,0,0,0,0,0,415,428,0.0659,441,427
1980.3333,1980,16,6210,6237,428,437,0,0,0,0,0,0,428,437,0.0657,456,436
1980.4167,1980,20,6240,6260,434,450,0,0,0,0,0,0,434,450,0.0652,466,450
1980.5000,1980,24,6250,6261,438,464,0,0,0,0,0,0,438,464,0.0653,474,463
1980.5833,1980,28,6267,6280,443,468,0,0,0,0,0,0,443,468,0.0657,481,470
1980.6667,1980,32,6297,6298,447,477,0,0,0,0,0,0,447,477,0.0654,487,477
1980.7500,1980,36,6310,6300,459,483,0,0,0,0,0,0,459,483,0.0656,500,484
1980.8333,1980,40,6330,6318,472,496,0,0,0,0,0,0,472,496,0.0660,513,494
1980.9167,1980,44,6350,6345,487,513,0,0,0,0,0,0,487,513,0.0661,533,511
1981.0000,1981,0,6348,6346,498,524,0,0,0,0,0,0,498,524,0.0662,545,522
1981.0833,1981,4,6353,6368,508,529,0,0,0,0,0,0,508,529,0.0663,557,528
1981.1667,1981,8,6373,6398,513,538,0,0,0,0,0,0,513,538,0.0662,567,539
1981.2500,1981,12,6388,6413,520,551,0,0,0,0,0,0,520,551,0.0670,576,554
1981.3333,1981,16,6393,6433,531,562,0,0,0,0,0,0,531,562,0.0669,589,567
1981.4167,1981,20,6429,6467,547,578,0,0,0,0,0,0,547,578,0.0670,602,586
1981.5000,1981,24,6433,6490,556,584,0,0,0,0,0,0,556,584,0.0667,617,593
1981.5833,1981,28,6440,6511,566,594,0,0,0,0,0,0,566,594,0.0665,629,604
1981.6667,1981,32,6475,6519,575,605,0,0,0,0,0,0,575,605,0.0663,641,618
1981.7500,1981,36,6489,6534,583,612,0,0,0,0,0,0,583,612,0.0666,651,626
1981.8333,1981,40,6527,6558,590,620,0,0,0,0,0,0,590,620,0.0665,657,635
1981.9167,1981,44,6555,6591,600,632,0,0,0,0,0,0,600,632,0.0662,672,648
1982.0000,1982,0,6554,6603,609,647,0,0,0,0,0,0,609,647,0.0662,681,663
1982.0833,1982,4,6582,6628,613,652,0,0,0,0,0,0,613,652,0.0667,691,668
1982.1667,1982,8,6607,6657,625,665,0,0,0,0,0,0,625,665,0.0666,704,681
1982.2500,1982,12,6611,6658,630,675,0,0,0,0,0,0,630,675,0.0667,711,691
1982.3333,1982,16,6627,6683,645,690,0,0,0,0,0,0,645,690,0.0668,729,706
