Time,Year,Timestep,N_m,N_f,NPos_m,NPos_f,N_knowpos_m,N_knowpos_f,NART_m,NART_f,NVS_m,NVS_f,NNotKnowStatus_m,NNotKnowStatus_f,PropMenCirc,Cumulative_Infected_m,Cumulative_Infected_f
1975.0833,1975,4,5526,5162,2,0,0,0,0,0,0,0,2,0,0.0680,2,0
1975.1667,1975,8,5543,5186,2,0,0,0,0,0,0,0,2,0,0.0682,2,0
1975.2500,1975,12,5554,5193,2,0,0,0,0,0,0,0,2,0,0.0681,2,0
1975.3333,1975,16,5579,5196,2,0,0,0,0,0,0,0,2,0,0.0687,2,0
1975.4167,1975,20,5594,5220,2,1,0,0,0,0,0,0,2,1,0.0688,2,1
1975.5000,1975,24,5602,5228,2,1,0,0,0,0,0,0,2,1,0.0687,2,1
1975.5833,1975,28,5612,5241,2,1,0,0,0,0,0,0,2,1,0.0688,2,1
1975.6667,1975,32,5638,5268,3,1,0,0,0,0,0,0,3,1,0.0685,3,1
1975.7500,1975,36,5647,5283,3,2,0,0,0,0,0,0,3,2,0.0689,3,2
1975.8333,1975,40,5655,5301,3,2,0,0,0,0,0,0,3,2,0.0688,3,2
1975.9167,1975,44,5677,5330,3,2,0,0,0,0,0,0,3,2,0.0687,3,2
1976.0000,1976,0,5678,5325,3,2,0,0,0,0,0,0,3,2,0.0687,3,2
1976.0833,1976,4,5684,5336,5,2,0,0,0,0,0,0,5,2,0.0683,5,2
1976.1667,1976,8,5713,5353,5,2,0,0,0,0,0,0,5,2,0.0679,5,2
1976.2500,1976,12,5727,5366,5,2,0,0,0,0,0,0,5,2,0.0676,5,2
1976.3333,1976,16,5741,5379,5,2,0,0,0,0,0,0,5,2,0.0672,5,2
1976.4167,1976,20,5752,5400,6,2,0,0,0,0,0,0,6,2,0.0671,6,2
1976.5000,1976,24,5761,5403,6,2,0,0,0,0,0,0,6,2,0.0675,6,2
1976.5833,1976,28,5778,5422,6,3,0,0,0,0,0,0,6,3,0.0672,6,3
1976.6667,1976,32,5796,5425,6,3,0,0,0,0,0,0,6,3,0.0666,6,3
1976.7500,1976,36,5808,5420,6,3,0,0,0,0,0,0,6,3,0.0671,6,3
1976.8333,1976,40,5815,5431,7,4,0,0,0,0,0,0,7,4,0.0671,7,4
1976.9167,1976,44,5833,5448,7,5,0,0,0,0,0,0,7,5,0.0675,7,5
1977.0000,1977,0,5832,5457,7,5,0,0,0,0,0,0,7,5,0.0672,7,5
1977.0833,1977,4,5848,5479,6,5,0,0,0,0,0,0,6,5,0.0674,7,5
1977.1667,1977,8,5875,5501,6,5,0,0,0,0,0,0,6,5,0.0677,7,5
1977.2500,1977,12,5887,5516,6,5,0,0,0,0,0,0,6,5,0.0676,7,5
1977.3333,1977,16,5895,5543,8,6,0,0,0,0,0,0,8,6,0.0677,9,6
1977.4167,1977,20,5913,5562,8,6,0,0,0,0,0,0,8,6,0.0671,9,6
1977.5000,1977,24,5914,5577,8,6,0,0,0,0,0,0,8,6,0.0671,9,6
1977.5833,1977,28,5941,5596,8,6,0,0,0,0,0,0,8,6,0.0672,9,6
1977.6667,1977,32,5958,5616,7,6,0,0,0,0,0,0,7,6,0.0670,9,6
1977.7500,1977,36,5967,5632,7,6,0,0,0,0,0,0,7,6,0.0667,9,6
1977.8333,1977,40,5980,5652,7,7,0,0,0,0,0,0,7,7,0.0669,9,6
1977.9167,1977,44,6007,5675,7,7,0,0,0,0,0,0,7,7,0.0668,9,6
1978.0000,1978,0,6012,5682,8,8,0,0,0,0,0,0,8,8,0.0669,10,7
1978.0833,1978,4,6044,5701,9,8,0,0,0,0,0,0,9,8,0.0663,11,7
1978.1667,1978,8,6073,5723,10,10,0,0,0,0,0,0,10,10,0.0660,12,9
1978.2500,1978,12,6081,5722,11,11,0,0,0,0,0,0,11,11,0.0661,13,10
1978.3333,1978,16,6099,5736,11,11,0,0,0,0,0,0,11,11,0.0659,13,10
1978.4167,1978,20,6135,5757,11,12,0,0,0,0,0,0,11,12,0.0665,13,11
1978.5000,1978,24,6147,5763,11,13,0,0,0,0,0,0,11,13,0.0660,13,12
1978.5833,1978,28,6153,5781,11,13,0,0,0,0,0,0,11,13,0.0658,13,12
1978.6667,1978,32,6165,5798,11,13,0,0,0,0,0,0,11,13,0.0662,13,12
1978.7500,1978,36,6171,5809,11,13,0,0,0,0,0,0,11,13,0.0661,13,12
