time_to_background_HIVtestNOW time_to_background_HIVtest_maxval time_to_background_HIVtest_exponent time_to_background_HIVtest_midpoint HIV_background_testing_rate_multiplier_pre2006 HIV_background_testing_rate_multiplier HIV_background_testing_rate_multiplier_male HIV_rapid_test_sensitivity_CHIPS p_collect_hiv_test_results_cd4_over200 p_collect_hiv_test_results_cd4_under200 p_collect_cd4_test_results_cd4_nonpopart p_collect_cd4_test_results_cd4_popartYEAR1 p_collect_cd4_test_results_cd4_popartYEAR2onwards p_dies_earlyart_cd4_over500 p_dies_earlyart_cd4_350_500 p_dies_earlyart_cd4_200_350 p_dies_earlyart_cd4_under200 p_leaves_earlyart_cd4_over200_if_not_die_early p_leaves_earlyart_cd4_under200_if_not_die_early p_becomes_vs_after_earlyart_if_not_die_early_or_leave p_stays_virally_suppressed p_stays_virally_suppressed_male p_stops_virally_suppressed p_vu_becomes_virally_suppressed t_earlyart_dropout_nonpopart_min t_earlyart_dropout_nonpopart_max t_earlyart_dropout_popart_min t_earlyart_dropout_popart_max t_dies_earlyart_nonpopart_min t_dies_earlyart_nonpopart_max t_dies_earlyart_popart_min t_dies_earlyart_popart_max t_end_early_art t_cd4_retest_nonpopart_min t_cd4_retest_nonpopart_max t_cd4_retest_popart_min t_cd4_retest_popart_max t_cd4_whenartfirstavail_min t_cd4_whenartfirstavail_max t_delay_hivtest_to_cd4test_nonpopart_min t_delay_hivtest_to_cd4test_nonpopart_max t_delay_hivtest_to_cd4test_popart_min t_delay_hivtest_to_cd4test_popart_max t_start_art_nonpopart_mean n_time_periods_art_popart_per_round_1 n_time_periods_art_popart_per_round_2 n_time_periods_art_popart_per_round_3 t_start_art_popart_round1_mean_fast_1 t_start_art_popart_round1_mean_fast_2 t_start_art_popart_round1_mean_fast_3 t_start_art_popart_round1_mean_fast_4 t_start_art_popart_round1_mean_fast_5 t_start_art_popart_round1_mean_fast_6 t_start_art_popart_round1_mean_slow_1 t_start_art_popart_round1_mean_slow_2 t_start_art_popart_round1_mean_slow_3 t_start_art_popart_round1_mean_slow_4 t_start_art_popart_round1_mean_slow_5 t_start_art_popart_round1_mean_slow_6 p_start_art_popart_round1_mean_fast_1 p_start_art_popart_round1_mean_fast_2 p_start_art_popart_round1_mean_fast_3 p_start_art_popart_round1_mean_fast_4 p_start_art_popart_round1_mean_fast_5 p_start_art_popart_round1_mean_fast_6 t_start_art_popart_round2_mean_fast t_start_art_popart_round2_mean_slow p_start_art_popart_round2_mean_fast t_start_art_popart_round3_mean_fast t_start_art_popart_round3_mean_slow p_start_art_popart_round3_mean_fast t_end_vs_becomevu_nonpopart_min t_end_vs_becomevu_nonpopart_max t_end_vs_becomevu_popart_min t_end_vs_becomevu_popart_max t_end_vs_dropout_nonpopart_min t_end_vs_dropout_nonpopart_max t_end_vs_dropout_popart_min t_end_vs_dropout_popart_max t_end_vu_becomevs_nonpopart_min t_end_vu_becomevs_nonpopart_max t_end_vu_becomevs_popart_min t_end_vu_becomevs_popart_max t_end_vu_dropout_nonpopart_min t_end_vu_dropout_nonpopart_max t_end_vu_dropout_popart_min t_end_vu_dropout_popart_max p_popart_to_cascade p_circ_nopopart p_circ_popart t_get_vmmc_nonpopart_min t_get_vmmc_nonpopart_max t_get_vmmc_popart_min t_get_vmmc_popart_max t_vmmc_healing
3 8 6 6.5 0.137984188943623 0.219231432992755 0.923850254481816 1 0.97 1 0.949226390576843 1 1 0 0 0 0.08 0 0 0.9 0.826803287676854 0.988835689399563 0.1 0 0 0.17 0 0.17 0 0.17 0 0.17 0.17 0.9 1.1 0.9 1.1 0 2 0.02083333 0.5 0.0208333 0.08 0.444908989342977 6 1 1 0.198135055 0.161389981 0.117751952 0.13459823 0.080663832 0.027557064 2.710762344 2.378488091 2.085867105 1.620288233 1.282378311 0.854076111 0.215361847 0.185708077 0.1798653 0.199882662 0.313340064 0.175062602 0.074645317 1.261541323 0.225554131 0.030191668 0.794755412 0.284435298 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 1 0.4 0.4 0.25 1 0.08333 1 0.038
3 8 6 6.5 0.161151194553503 0.212055182158538 1.02925527377884 1 0.97 1 0.946329106948422 1 1 0 0 0 0.08 0 0 0.9 0.873473235693204 0.867663287090899 0.1 0 0 0.17 0 0.17 0 0.17 0 0.17 0.17 0.9 1.1 0.9 1.1 0 2 0.02083333 0.5 0.0208333 0.08 0.404814538434064 6 1 1 0.198135055 0.161389981 0.117751952 0.13459823 0.080663832 0.027557064 2.710762344 2.378488091 2.085867105 1.620288233 1.282378311 0.854076111 0.215361847 0.185708077 0.1798653 0.199882662 0.313340064 0.175062602 0.074645317 1.261541323 0.225554131 0.030191668 0.794755412 0.284435298 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 1 0.4 0.4 0.25 1 0.08333 1 0.038
3 8 6 6.5 0.122609424847974 0.161108961181898 1.06905095927449 1 0.97 1 0.948274968841736 1 1 0 0 0 0.08 0 0 0.9 0.898513220733052 0.85121728733133 0.1 0 0 0.17 0 0.17 0 0.17 0 0.17 0.17 0.9 1.1 0.9 1.1 0 2 0.02083333 0.5 0.0208333 0.08 0.485958736147294 6 1 1 0.198135055 0.161389981 0.117751952 0.13459823 0.080663832 0.027557064 2.710762344 2.378488091 2.085867105 1.620288233 1.282378311 0.854076111 0.215361847 0.185708077 0.1798653 0.199882662 0.313340064 0.175062602 0.074645317 1.261541323 0.225554131 0.030191668 0.794755412 0.284435298 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 1 0.4 0.4 0.25 1 0.08333 1 0.038
3 8 6 6.5 0.13073732755011 0.152949542480924 0.996295287254444 1 0.97 1 0.945531181254281 1 1 0 0 0 0.08 0 0 0.9 0.787687898152347 0.974937972563631 0.1 0 0 0.17 0 0.17 0 0.17 0 0.17 0.17 0.9 1.1 0.9 1.1 0 2 0.02083333 0.5 0.0208333 0.08 0.46733775936154 6 1 1 0.198135055 0.161389981 0.117751952 0.13459823 0.080663832 0.027557064 2.710762344 2.378488091 2.085867105 1.620288233 1.282378311 0.854076111 0.215361847 0.185708077 0.1798653 0.199882662 0.313340064 0.175062602 0.074645317 1.261541323 0.225554131 0.030191668 0.794755412 0.284435298 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 1 0.4 0.4 0.25 1 0.08333 1 0.038
3 8 6 6.5 0.13739474448827 0.150507607810377 0.63919712118066 1 0.97 1 0.946543211388236 1 1 0 0 0 0.08 0 0 0.9 0.83918117735561 0.942690726835244 0.1 0 0 0.17 0 0.17 0 0.17 0 0.17 0.17 0.9 1.1 0.9 1.1 0 2 0.02083333 0.5 0.0208333 0.08 0.578951365364721 6 1 1 0.198135055 0.161389981 0.117751952 0.13459823 0.080663832 0.027557064 2.710762344 2.378488091 2.085867105 1.620288233 1.282378311 0.854076111 0.215361847 0.185708077 0.1798653 0.199882662 0.313340064 0.175062602 0.074645317 1.261541323 0.225554131 0.030191668 0.794755412 0.284435298 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 1 0.4 0.4 0.25 1 0.08333 1 0.038
3 8 6 6.5 0.198737743883234 0.192124887351296 0.87780774348097 1 0.97 1 0.949237905078052 1 1 0 0 0 0.08 0 0 0.9 0.836812895325522 0.905841171025793 0.1 0 0 0.17 0 0.17 0 0.17 0 0.17 0.17 0.9 1.1 0.9 1.1 0 2 0.02083333 0.5 0.0208333 0.08 0.449669783085745 6 1 1 0.198135055 0.161389981 0.117751952 0.13459823 0.080663832 0.027557064 2.710762344 2.378488091 2.085867105 1.620288233 1.282378311 0.854076111 0.215361847 0.185708077 0.1798653 0.199882662 0.313340064 0.175062602 0.074645317 1.261541323 0.225554131 0.030191668 0.794755412 0.284435298 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 1 0.4 0.4 0.25 1 0.08333 1 0.038
3 8 6 6.5 0.131826831574497 0.136431510602225 1.09248492353618 1 0.97 1 0.947151460196128 1 1 0 0 0 0.08 0 0 0.9 0.879680292707809 0.918248164521123 0.1 0 0 0.17 0 0.17 0 0.17 0 0.17 0.17 0.9 1.1 0.9 1.1 0 2 0.02083333 0.5 0.0208333 0.08 0.517174484394255 6 1 1 0.198135055 0.161389981 0.117751952 0.13459823 0.080663832 0.027557064 2.710762344 2.378488091 2.085867105 1.620288233 1.282378311 0.854076111 0.215361847 0.185708077 0.1798653 0.199882662 0.313340064 0.175062602 0.074645317 1.261541323 0.225554131 0.030191668 0.794755412 0.284435298 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 1 0.4 0.4 0.25 1 0.08333 1 0.038
3 8 6 6.5 0.195132400045471 0.246686772909756 0.760870062009572 1 0.97 1 0.938113329423388 1 1 0 0 0 0.08 0 0 0.9 0.844695101890266 0.879997225105092 0.1 0 0 0.17 0 0.17 0 0.17 0 0.17 0.17 0.9 1.1 0.9 1.1 0 2 0.02083333 0.5 0.0208333 0.08 0.437179491787072 6 1 1 0.198135055 0.161389981 0.117751952 0.13459823 0.080663832 0.027557064 2.710762344 2.378488091 2.085867105 1.620288233 1.282378311 0.854076111 0.215361847 0.185708077 0.1798653 0.199882662 0.313340064 0.175062602 0.074645317 1.261541323 0.225554131 0.030191668 0.794755412 0.284435298 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 1 0.4 0.4 0.25 1 0.08333 1 0.038
3 8 6 6.5 0.126956757766873 0.14595990669647 0.867740792728751 1 0.97 1 0.920476145635424 1 1 0 0 0 0.08 0 0 0.9 0.759023899315513 0.904377956057099 0.1 0 0 0.17 0 0.17 0 0.17 0 0.17 0.17 0.9 1.1 0.9 1.1 0 2 0.02083333 0.5 0.0208333 0.08 0.442374959276298 6 1 1 0.198135055 0.161389981 0.117751952 0.13459823 0.080663832 0.027557064 2.710762344 2.378488091 2.085867105 1.620288233 1.282378311 0.854076111 0.215361847 0.185708077 0.1798653 0.199882662 0.313340064 0.175062602 0.074645317 1.261541323 0.225554131 0.030191668 0.794755412 0.284435298 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 1 0.4 0.4 0.25 1 0.08333 1 0.038
3 8 6 6.5 0.124234817374549 0.23600705156981 0.808323444603148 1 0.97 1 0.946301435453397 1 1 0 0 0 0.08 0 0 0.9 0.843722758446956 0.718088185406248 0.1 0 0 0.17 0 0.17 0 0.17 0 0.17 0.17 0.9 1.1 0.9 1.1 0 2 0.02083333 0.5 0.0208333 0.08 0.424633001143395 6 1 1 0.198135055 0.161389981 0.117751952 0.13459823 0.080663832 0.027557064 2.710762344 2.378488091 2.085867105 1.620288233 1.282378311 0.854076111 0.215361847 0.185708077 0.1798653 0.199882662 0.313340064 0.175062602 0.074645317 1.261541323 0.225554131 0.030191668 0.794755412 0.284435298 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 0.01 6 1 0.4 0.4 0.25 1 0.08333 1 0.038
