Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,2159,0,1101,0,1058,0,0,0,0,0,0,0,0,0,0.0563,0,0,0,34,0.5178,0.3604,0.1218,0.0000,0.0000,0.0000,0,0,0,0,0,0,213,170,197,216,140,85,80,190,167,200,208,134,86,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,2312,0,1179,0,1133,0,0,0,0,0,0,0,0,0,0.0568,0,0,0,59,0.5173,0.3607,0.1220,0.0000,0.0000,0.0000,0,0,0,0,0,0,267,184,191,225,140,84,88,243,166,208,215,138,84,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,2457,0,1253,0,1204,0,0,0,0,0,0,0,0,0,0.0559,0,0,0,88,0.5144,0.3630,0.1225,0.0000,0.0000,0.0000,0,0,0,0,0,0,314,193,190,226,152,88,90,291,175,200,223,142,90,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,2579,0,1323,0,1256,0,0,0,0,0,0,0,0,0,0.0559,0,0,0,128,0.5149,0.3602,0.1249,0.0000,0.0000,0.0000,0,0,0,0,0,0,352,204,193,233,157,89,95,321,182,209,219,152,92,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,2700,0,1384,0,1316,0,0,0,0,0,0,0,0,0,0.0549,0,0,0,163,0.5200,0.3581,0.1219,0.0000,0.0000,0.0000,0,0,0,0,0,0,335,245,215,233,165,91,100,326,223,206,221,153,107,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,2826,0,1448,0,1378,0,0,0,0,0,0,0,0,0,0.0552,0,0,0,188,0.5177,0.3602,0.1221,0.0000,0.0000,0.0000,0,0,0,0,0,0,320,297,221,246,163,99,102,317,266,214,222,166,106,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,2937,0,1505,0,1432,0,0,0,0,0,0,0,0,0,0.0558,0,0,0,240,0.5186,0.3609,0.1205,0.0000,0.0000,0.0000,0,0,0,0,0,0,315,345,231,241,165,107,101,308,319,220,214,169,116,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,3056,0,1559,0,1497,0,0,0,0,0,0,0,0,0,0.0571,0,0,0,273,0.5187,0.3613,0.1201,0.0000,0.0000,0.0000,0,0,0,0,0,0,302,387,239,241,181,106,103,309,356,222,230,174,117,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,3184,0,1627,0,1557,0,0,0,0,0,0,0,0,0,0.0572,0,0,0,309,0.5163,0.3621,0.1215,0.0000,0.0000,0.0000,0,0,0,0,0,0,314,414,259,247,178,112,103,308,386,235,238,185,120,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,3326,0,1673,0,1653,0,0,0,0,0,0,0,0,0,0.0586,0,0,0,354,0.5177,0.3614,0.1209,0.0000,0.0000,0.0000,0,0,0,0,0,0,315,396,309,251,182,118,102,343,387,276,245,187,120,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1910,0.000000,0.000000,0,0,0,0,0.000000,0,3460,0,1750,0,1710,0,0,0,0,0,0,0,0,0,0.0571,0,0,0,394,0.5168,0.3607,0.1225,0.0000,0.0000,0.0000,0,0,0,0,0,0,331,386,362,250,195,120,106,340,382,325,258,190,117,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1911,0.000000,0.000000,0,0,0,0,0.000000,0,3574,0,1808,0,1766,0,0,0,0,0,0,0,0,0,0.0575,0,0,0,438,0.5145,0.3604,0.1251,0.0000,0.0000,0.0000,0,0,0,0,0,0,339,375,396,268,202,117,111,340,374,375,264,193,120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1912,0.000000,0.000000,0,0,0,0,0.000000,0,3679,0,1859,0,1820,0,0,0,0,0,0,0,0,0,0.0576,0,0,0,495,0.5107,0.3650,0.1242,0.0000,0.0000,0.0000,0,0,0,0,0,0,334,375,435,275,198,132,110,339,372,408,271,199,125,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1913,0.000000,0.000000,0,0,0,0,0.000000,0,3817,0,1922,0,1895,0,0,0,0,0,0,0,0,0,0.0593,0,0,0,535,0.5111,0.3626,0.1263,0.0000,0.0000,0.0000,0,0,0,0,0,0,339,380,470,281,204,134,114,325,405,443,281,197,136,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1914,0.000000,0.000000,0,0,0,0,0.000000,0,3870,0,1944,0,1926,0,0,0,0,0,0,0,0,0,0.0581,0,0,0,583,0.5129,0.3602,0.1269,0.0000,0.0000,0.0000,0,0,0,0,0,0,295,396,499,290,207,142,115,296,407,477,284,206,134,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1915,0.000000,0.000000,0,0,0,0,0.000000,0,3945,0,1986,0,1959,0,0,0,0,0,0,0,0,0,0.0579,0,0,0,634,0.5163,0.3579,0.1257,0.0000,0.0000,0.0000,0,0,0,0,0,0,282,397,531,300,216,140,120,278,405,511,297,202,142,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1916,0.000000,0.000000,0,0,0,0,0.000000,0,4020,0,2012,0,2008,0,0,0,0,0,0,0,0,0,0.0572,0,0,0,696,0.5154,0.3609,0.1236,0.0000,0.0000,0.0000,0,0,0,0,0,0,263,406,517,354,206,140,126,276,403,514,338,201,145,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1917,0.000000,0.000000,0,0,0,0,0.000000,0,4097,0,2063,0,2034,0,0,0,0,0,0,0,0,0,0.0582,0,0,0,754,0.5138,0.3612,0.1250,0.0000,0.0000,0.0000,0,0,0,0,0,0,257,401,514,403,212,151,125,236,422,502,383,212,149,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1918,0.000000,0.000000,0,0,0,0,0.000000,0,4170,0,2092,0,2078,0,0,0,0,0,0,0,0,0,0.0588,0,0,0,815,0.5134,0.3614,0.1252,0.0000,0.0000,0.0000,0,0,0,0,0,0,270,376,505,456,215,146,124,252,363,529,428,223,154,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1919,0.000000,0.000000,0,0,0,0,0.000000,0,4239,0,2128,0,2111,0,0,0,0,0,0,0,0,0,0.0611,0,0,0,885,0.5121,0.3621,0.1257,0.0000,0.0000,0.0000,0,0,0,0,0,0,278,346,511,499,219,149,126,258,345,526,474,225,156,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1920,0.000000,0.000000,0,0,0,0,0.000000,0,4318,0,2158,0,2160,0,0,0,0,0,0,0,0,0,0.0607,0,0,0,951,0.5134,0.3610,0.1255,0.0000,0.0000,0.0000,0,0,0,0,0,0,284,331,515,528,220,154,126,259,340,527,508,238,159,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1921,0.000000,0.000000,0,0,0,0,0.000000,0,4384,0,2186,0,2198,0,0,0,0,0,0,0,0,0,0.0622,0,0,0,1027,0.5139,0.3611,0.1250,0.0000,0.0000,0.0000,0,0,0,0,0,0,277,329,514,546,236,160,124,275,319,529,541,240,164,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1922,0.000000,0.000000,0,0,0,0,0.000000,0,4508,0,2253,0,2255,0,0,0,0,0,0,0,0,0,0.0626,0,0,0,1078,0.5138,0.3594,0.1269,0.0000,0.0000,0.0000,0,0,0,0,0,0,299,314,518,582,242,158,140,299,291,541,580,241,169,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1923,0.000000,0.000000,0,0,0,0,0.000000,0,4655,0,2348,0,2307,0,0,0,0,0,0,0,0,0,0.0622,0,0,0,1131,0.5141,0.3596,0.1263,0.0000,0.0000,0.0000,0,0,0,0,0,0,342,335,501,615,249,160,146,315,305,518,616,247,166,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1924,0.000000,0.000000,0,0,0,0,0.000000,0,4797,0,2410,0,2387,0,0,0,0,0,0,0,0,0,0.0618,0,0,0,1179,0.5143,0.3598,0.1259,0.0000,0.0000,0.0000,0,0,0,0,0,0,361,340,480,650,257,169,153,344,322,498,651,251,171,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1925,0.000000,0.000000,0,0,0,0,0.000000,0,4918,0,2476,0,2442,0,0,0,0,0,0,0,0,0,0.0642,0,0,0,1254,0.5112,0.3630,0.1259,0.0000,0.0000,0.0000,0,0,0,0,0,0,388,346,469,678,267,177,151,364,318,468,705,261,170,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1926,0.000000,0.000000,0,0,0,0,0.000000,0,5064,0,2540,0,2524,0,0,0,0,0,0,0,0,0,0.0669,0,0,0,1323,0.5103,0.3641,0.1256,0.0000,0.0000,0.0000,0,0,0,0,0,0,403,352,455,691,312,169,158,389,352,450,706,296,174,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1927,0.000000,0.000000,0,0,0,0,0.000000,0,5224,0,2624,0,2600,0,0,0,0,0,0,0,0,0,0.0675,0,0,0,1393,0.5111,0.3643,0.1246,0.0000,0.0000,0.0000,0,0,0,0,0,0,401,399,446,677,361,174,166,421,370,435,700,334,183,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1928,0.000000,0.000000,0,0,0,0,0.000000,0,5418,0,2713,0,2705,0,0,0,0,0,0,0,0,0,0.0667,0,0,0,1461,0.5109,0.3653,0.1238,0.0000,0.0000,0.0000,0,0,0,0,0,0,441,414,449,671,402,176,160,451,407,423,691,379,195,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1929,0.000000,0.000000,0,0,0,0,0.000000,0,5560,0,2781,0,2779,0,0,0,0,0,0,0,0,0,0.0658,0,0,0,1536,0.5117,0.3646,0.1237,0.0000,0.0000,0.0000,0,0,0,0,0,0,446,448,429,678,441,178,161,467,423,410,699,420,200,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1930,0.000000,0.000000,0,0,0,0,0.000000,0,5743,0,2878,0,2865,0,0,0,0,0,0,0,0,0,0.0660,0,0,0,1606,0.5083,0.3665,0.1252,0.0000,0.0000,0.0000,0,0,0,0,0,0,479,479,444,661,460,179,176,471,463,431,676,453,209,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
