Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,2154,0,1096,0,1058,0,0,0,0,0,0,0,0,0,0.0538,0,0,0,30,0.5121,0.3654,0.1226,0.0000,0.0000,0.0000,0,0,0,0,0,0,202,161,210,209,146,92,76,192,167,193,204,141,84,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,2292,0,1183,0,1109,0,0,0,0,0,0,0,0,0,0.0516,0,0,0,58,0.5131,0.3678,0.1191,0.0000,0.0000,0.0000,0,0,0,0,0,0,269,160,218,207,153,96,80,211,174,192,223,137,91,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,2403,0,1238,0,1165,0,0,0,0,0,0,0,0,0,0.0517,0,0,0,96,0.5139,0.3675,0.1186,0.0000,0.0000,0.0000,0,0,0,0,0,0,302,174,213,203,165,98,83,241,183,193,229,143,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,2538,0,1312,0,1226,0,0,0,0,0,0,0,0,0,0.0534,0,0,0,131,0.5126,0.3652,0.1221,0.0000,0.0000,0.0000,0,0,0,0,0,0,344,173,227,215,159,107,87,285,186,199,232,144,94,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,2650,0,1367,0,1283,0,0,0,0,0,0,0,0,0,0.0527,0,0,0,169,0.5091,0.3687,0.1223,0.0000,0.0000,0.0000,0,0,0,0,0,0,338,235,211,222,165,106,90,288,228,202,229,153,103,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,2774,0,1406,0,1368,0,0,0,0,0,0,0,0,0,0.0548,0,0,0,217,0.5061,0.3709,0.1229,0.0000,0.0000,0.0000,0,0,0,0,0,0,304,294,222,232,159,110,85,324,246,218,235,153,105,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,2904,0,1478,0,1426,0,0,0,0,0,0,0,0,0,0.0541,0,0,0,253,0.5096,0.3685,0.1219,0.0000,0.0000,0.0000,0,0,0,0,0,0,317,333,227,239,161,114,87,333,269,234,238,154,110,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,3028,0,1546,0,1482,0,0,0,0,0,0,0,0,0,0.0556,0,0,0,300,0.5040,0.3725,0.1235,0.0000,0.0000,0.0000,0,0,0,0,0,0,313,382,225,260,163,119,84,331,307,237,251,163,108,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,3172,0,1619,0,1553,0,0,0,0,0,0,0,0,0,0.0544,0,0,0,343,0.5006,0.3742,0.1252,0.0000,0.0000,0.0000,0,0,0,0,0,0,334,405,239,267,174,120,80,344,344,237,255,178,109,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,3276,0,1682,0,1594,0,0,0,0,0,0,0,0,0,0.0547,0,0,0,384,0.5015,0.3739,0.1245,0.0000,0.0000,0.0000,0,0,0,0,0,0,347,395,284,275,177,123,81,308,368,280,263,173,118,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1910,0.000000,0.000000,0,0,0,0,0.000000,0,3393,0,1740,0,1653,0,0,0,0,0,0,0,0,0,0.0534,0,0,0,422,0.5040,0.3731,0.1229,0.0000,0.0000,0.0000,0,0,0,0,0,0,339,380,335,293,181,126,86,306,385,308,261,181,126,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1911,0.000000,0.000000,0,0,0,0,0.000000,0,3507,0,1792,0,1715,0,0,0,0,0,0,0,0,0,0.0536,0,0,0,469,0.5047,0.3733,0.1220,0.0000,0.0000,0.0000,0,0,0,0,0,0,327,388,389,285,184,127,92,310,399,338,255,199,125,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1912,0.000000,0.000000,0,0,0,0,0.000000,0,3612,0,1842,0,1770,0,0,0,0,0,0,0,0,0,0.0532,0,0,0,523,0.5072,0.3699,0.1229,0.0000,0.0000,0.0000,0,0,0,0,0,0,310,391,436,295,184,137,89,299,408,371,269,206,128,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1913,0.000000,0.000000,0,0,0,0,0.000000,0,3742,0,1900,0,1842,0,0,0,0,0,0,0,0,0,0.0526,0,0,0,573,0.5083,0.3677,0.1240,0.0000,0.0000,0.0000,0,0,0,0,0,0,321,396,464,296,197,132,94,324,395,400,287,211,128,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1914,0.000000,0.000000,0,0,0,0,0.000000,0,3802,0,1930,0,1872,0,0,0,0,0,0,0,0,0,0.0518,0,0,0,619,0.5068,0.3698,0.1234,0.0000,0.0000,0.0000,0,0,0,0,0,0,296,406,488,302,201,137,100,298,375,458,293,213,134,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1915,0.000000,0.000000,0,0,0,0,0.000000,0,3878,0,1972,0,1906,0,0,0,0,0,0,0,0,0,0.0517,0,0,0,660,0.5064,0.3698,0.1238,0.0000,0.0000,0.0000,0,0,0,0,0,0,286,399,520,314,211,134,108,267,381,497,303,212,136,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1916,0.000000,0.000000,0,0,0,0,0.000000,0,3962,0,2008,0,1954,0,0,0,0,0,0,0,0,0,0.0503,0,0,0,708,0.5050,0.3698,0.1252,0.0000,0.0000,0.0000,0,0,0,0,0,0,276,389,525,353,214,135,116,256,380,504,346,217,136,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1917,0.000000,0.000000,0,0,0,0,0.000000,0,4039,0,2045,0,1994,0,0,0,0,0,0,0,0,0,0.0523,0,0,0,753,0.5058,0.3696,0.1245,0.0000,0.0000,0.0000,0,0,0,0,0,0,247,387,520,400,232,140,119,224,382,530,367,227,141,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1918,0.000000,0.000000,0,0,0,0,0.000000,0,4138,0,2086,0,2052,0,0,0,0,0,0,0,0,0,0.0513,0,0,0,808,0.5048,0.3681,0.1271,0.0000,0.0000,0.0000,0,0,0,0,0,0,260,359,523,436,244,143,121,258,366,529,390,226,157,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1919,0.000000,0.000000,0,0,0,0,0.000000,0,4221,0,2124,0,2097,0,0,0,0,0,0,0,0,0,0.0504,0,0,0,865,0.5058,0.3667,0.1275,0.0000,0.0000,0.0000,0,0,0,0,0,0,262,346,508,486,254,146,122,280,340,529,436,229,151,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1920,0.000000,0.000000,0,0,0,0,0.000000,0,4291,0,2152,0,2139,0,0,0,0,0,0,0,0,0,0.0525,0,0,0,930,0.5055,0.3677,0.1268,0.0000,0.0000,0.0000,0,0,0,0,0,0,257,337,504,506,267,150,131,287,323,534,473,230,156,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1921,0.000000,0.000000,0,0,0,0,0.000000,0,4394,0,2202,0,2192,0,0,0,0,0,0,0,0,0,0.0536,0,0,0,987,0.5068,0.3666,0.1265,0.0000,0.0000,0.0000,0,0,0,0,0,0,270,326,513,547,257,157,132,311,306,514,531,221,170,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1922,0.000000,0.000000,0,0,0,0,0.000000,0,4514,0,2257,0,2257,0,0,0,0,0,0,0,0,0,0.0532,0,0,0,1055,0.5095,0.3669,0.1236,0.0000,0.0000,0.0000,0,0,0,0,0,0,293,305,521,580,256,159,143,323,300,525,561,235,175,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
