Time,Year,Timestep,N_m,N_f,NPos_m,NPos_f,N_knowpos_m,N_knowpos_f,NART_m,NART_f,NVS_m,NVS_f,NNotKnowStatus_m,NNotKnowStatus_f,PropMenCirc,Cumulative_Infected_m,Cumulative_Infected_f
1975.0833,1975,4,8941,9102,10,9,0,0,0,0,0,0,10,9,0.0602,10,9
1975.1667,1975,8,8968,9129,10,9,0,0,0,0,0,0,10,9,0.0601,10,9
1975.2500,1975,12,8999,9143,10,10,0,0,0,0,0,0,10,10,0.0602,10,10
1975.3333,1975,16,9033,9166,11,10,0,0,0,0,0,0,11,10,0.0603,11,10
1975.4167,1975,20,9047,9187,11,11,0,0,0,0,0,0,11,11,0.0602,11,11
1975.5000,1975,24,9068,9208,12,11,0,0,0,0,0,0,12,11,0.0602,12,11
1975.5833,1975,28,9087,9239,12,11,0,0,0,0,0,0,12,11,0.0601,12,11
1975.6667,1975,32,9118,9251,12,11,0,0,0,0,0,0,12,11,0.0602,12,11
1975.7500,1975,36,9125,9269,12,11,0,0,0,0,0,0,12,11,0.0602,12,11
1975.8333,1975,40,9134,9306,13,13,0,0,0,0,0,0,13,13,0.0600,13,13
1975.9167,1975,44,9167,9323,15,14,0,0,0,0,0,0,15,14,0.0597,15,14
1976.0000,1976,0,9193,9358,15,15,0,0,0,0,0,0,15,15,0.0595,15,15
1976.0833,1976,4,9215,9382,15,17,0,0,0,0,0,0,15,17,0.0595,15,17
1976.1667,1976,8,9233,9414,16,18,0,0,0,0,0,0,16,18,0.0596,16,18
1976.2500,1976,12,9263,9429,16,18,0,0,0,0,0,0,16,18,0.0595,16,18
1976.3333,1976,16,9280,9450,18,21,0,0,0,0,0,0,18,21,0.0597,18,21
1976.4167,1976,20,9301,9478,19,21,0,0,0,0,0,0,19,21,0.0593,19,21
1976.5000,1976,24,9321,9504,21,22,0,0,0,0,0,0,21,22,0.0595,21,22
1976.5833,1976,28,9347,9519,22,24,0,0,0,0,0,0,22,24,0.0595,22,24
1976.6667,1976,32,9363,9539,24,27,0,0,0,0,0,0,24,27,0.0598,24,27
1976.7500,1976,36,9383,9574,26,31,0,0,0,0,0,0,26,31,0.0598,26,31
1976.8333,1976,40,9403,9603,27,34,0,0,0,0,0,0,27,34,0.0597,27,34
1976.9167,1976,44,9420,9630,28,35,0,0,0,0,0,0,28,35,0.0598,28,35
1977.0000,1977,0,9460,9636,31,37,0,0,0,0,0,0,31,37,0.0596,31,37
