Time,Year,Timestep,N_m,N_f,NPos_m,NPos_f,N_knowpos_m,N_knowpos_f,NART_m,NART_f,NVS_m,NVS_f,NNotKnowStatus_m,NNotKnowStatus_f,PropMenCirc,Cumulative_Infected_m,Cumulative_Infected_f
1975.0833,1975,4,8725,9000,7,14,0,0,0,0,0,0,7,14,0.0629,7,14
1975.1667,1975,8,8739,9027,8,14,0,0,0,0,0,0,8,14,0.0626,8,14
1975.2500,1975,12,8757,9051,9,14,0,0,0,0,0,0,9,14,0.0626,9,14
1975.3333,1975,16,8787,9079,9,14,0,0,0,0,0,0,9,14,0.0628,9,14
1975.4167,1975,20,8814,9108,8,14,0,0,0,0,0,0,8,14,0.0629,9,14
1975.5000,1975,24,8836,9134,8,14,0,0,0,0,0,0,8,14,0.0634,9,14
1975.5833,1975,28,8864,9157,8,14,0,0,0,0,0,0,8,14,0.0635,9,14
1975.6667,1975,32,8877,9183,9,14,0,0,0,0,0,0,9,14,0.0633,10,14
1975.7500,1975,36,8912,9205,9,14,0,0,0,0,0,0,9,14,0.0631,10,14
1975.8333,1975,40,8933,9235,10,14,0,0,0,0,0,0,10,14,0.0634,11,14
1975.9167,1975,44,8955,9254,11,14,0,0,0,0,0,0,11,14,0.0633,12,14
1976.0000,1976,0,8974,9270,11,15,0,0,0,0,0,0,11,15,0.0632,12,15
1976.0833,1976,4,9005,9302,11,15,0,0,0,0,0,0,11,15,0.0631,12,15
1976.1667,1976,8,9024,9343,11,17,0,0,0,0,0,0,11,17,0.0631,12,17
1976.2500,1976,12,9049,9367,13,17,0,0,0,0,0,0,13,17,0.0630,14,17
1976.3333,1976,16,9087,9387,13,18,0,0,0,0,0,0,13,18,0.0632,14,18
1976.4167,1976,20,9104,9416,13,18,0,0,0,0,0,0,13,18,0.0634,14,18
1976.5000,1976,24,9130,9432,13,19,0,0,0,0,0,0,13,19,0.0636,14,19
1976.5833,1976,28,9155,9460,14,19,0,0,0,0,0,0,14,19,0.0639,15,19
1976.6667,1976,32,9183,9481,15,20,0,0,0,0,0,0,15,20,0.0639,16,20
1976.7500,1976,36,9217,9505,17,20,0,0,0,0,0,0,17,20,0.0636,18,20
1976.8333,1976,40,9228,9529,20,21,0,0,0,0,0,0,20,21,0.0635,21,21
