Time,Year,Timestep,N_m,N_f,NPos_m,NPos_f,N_knowpos_m,N_knowpos_f,NART_m,NART_f,NVS_m,NVS_f,NNotKnowStatus_m,NNotKnowStatus_f,PropMenCirc,Cumulative_Infected_m,Cumulative_Infected_f
1975.0833,1975,4,5444,5437,10,9,0,0,0,0,0,0,10,9,0.0593,10,9
1975.1667,1975,8,5461,5442,10,9,0,0,0,0,0,0,10,9,0.0602,10,9
1975.2500,1975,12,5470,5445,10,10,0,0,0,0,0,0,10,10,0.0603,10,10
1975.3333,1975,16,5481,5456,11,10,0,0,0,0,0,0,11,10,0.0598,11,10
1975.4167,1975,20,5504,5475,11,11,0,0,0,0,0,0,11,11,0.0601,11,11
1975.5000,1975,24,5512,5478,12,11,0,0,0,0,0,0,12,11,0.0604,12,11
1975.5833,1975,28,5515,5481,12,11,0,0,0,0,0,0,12,11,0.0606,12,11
1975.6667,1975,32,5542,5508,12,11,0,0,0,0,0,0,12,11,0.0608,12,11
1975.7500,1975,36,5533,5512,12,11,0,0,0,0,0,0,12,11,0.0609,12,11
1975.8333,1975,40,5547,5522,13,13,0,0,0,0,0,0,13,13,0.0606,13,13
1975.9167,1975,44,5573,5541,15,14,0,0,0,0,0,0,15,14,0.0605,15,14
1976.0000,1976,0,5587,5545,15,15,0,0,0,0,0,0,15,15,0.0601,15,15
1976.0833,1976,4,5607,5563,15,17,0,0,0,0,0,0,15,17,0.0603,15,17
1976.1667,1976,8,5625,5591,16,18,0,0,0,0,0,0,16,18,0.0603,16,18
1976.2500,1976,12,5637,5611,16,18,0,0,0,0,0,0,16,18,0.0605,16,18
1976.3333,1976,16,5656,5641,18,19,0,0,0,0,0,0,18,19,0.0605,18,19
1976.4167,1976,20,5675,5663,19,19,0,0,0,0,0,0,19,19,0.0603,19,19
1976.5000,1976,24,5674,5665,21,20,0,0,0,0,0,0,21,20,0.0606,21,20
1976.5833,1976,28,5690,5676,22,22,0,0,0,0,0,0,22,22,0.0605,22,21
1976.6667,1976,32,5717,5688,24,25,0,0,0,0,0,0,24,25,0.0602,24,24
1976.7500,1976,36,5735,5687,26,29,0,0,0,0,0,0,26,29,0.0602,26,28
1976.8333,1976,40,5755,5707,27,31,0,0,0,0,0,0,27,31,0.0599,27,30
1976.9167,1976,44,5792,5731,28,32,0,0,0,0,0,0,28,32,0.0606,28,31
1977.0000,1977,0,5796,5738,31,32,0,0,0,0,0,0,31,32,0.0606,31,31
1977.0833,1977,4,5815,5757,32,36,0,0,0,0,0,0,32,36,0.0607,32,34
1977.1667,1977,8,5837,5793,35,37,0,0,0,0,0,0,35,37,0.0613,35,35
1977.2500,1977,12,5845,5806,35,39,0,0,0,0,0,0,35,39,0.0614,35,37
