Time,Year,Timestep,N_m,N_f,NPos_m,NPos_f,N_knowpos_m,N_knowpos_f,NART_m,NART_f,NVS_m,NVS_f,NNotKnowStatus_m,NNotKnowStatus_f,PropMenCirc,Cumulative_Infected_m,Cumulative_Infected_f
1975.0833,1975,4,5261,5393,7,14,0,0,0,0,0,0,7,14,0.0663,7,14
1975.1667,1975,8,5281,5414,8,14,0,0,0,0,0,0,8,14,0.0665,8,14
1975.2500,1975,12,5285,5426,9,14,0,0,0,0,0,0,9,14,0.0662,9,14
1975.3333,1975,16,5294,5439,9,14,0,0,0,0,0,0,9,14,0.0672,9,14
1975.4167,1975,20,5324,5443,8,14,0,0,0,0,0,0,8,14,0.0667,9,14
1975.5000,1975,24,5330,5460,8,14,0,0,0,0,0,0,8,14,0.0668,9,14
1975.5833,1975,28,5344,5486,8,14,0,0,0,0,0,0,8,14,0.0666,9,14
1975.6667,1975,32,5362,5513,9,14,0,0,0,0,0,0,9,14,0.0664,10,14
1975.7500,1975,36,5367,5522,9,14,0,0,0,0,0,0,9,14,0.0663,10,14
1975.8333,1975,40,5381,5546,10,14,0,0,0,0,0,0,10,14,0.0663,11,14
1975.9167,1975,44,5396,5563,11,14,0,0,0,0,0,0,11,14,0.0663,12,14
1976.0000,1976,0,5410,5572,11,15,0,0,0,0,0,0,11,15,0.0665,12,15
1976.0833,1976,4,5424,5592,11,15,0,0,0,0,0,0,11,15,0.0667,12,15
1976.1667,1976,8,5442,5622,11,17,0,0,0,0,0,0,11,17,0.0663,12,17
1976.2500,1976,12,5454,5629,13,17,0,0,0,0,0,0,13,17,0.0660,14,17
1976.3333,1976,16,5478,5643,13,18,0,0,0,0,0,0,13,18,0.0657,14,18
1976.4167,1976,20,5503,5667,13,18,0,0,0,0,0,0,13,18,0.0654,14,18
1976.5000,1976,24,5503,5674,13,19,0,0,0,0,0,0,13,19,0.0652,14,19
1976.5833,1976,28,5525,5683,14,19,0,0,0,0,0,0,14,19,0.0655,15,19
1976.6667,1976,32,5550,5703,15,20,0,0,0,0,0,0,15,20,0.0652,16,20
1976.7500,1976,36,5554,5713,17,20,0,0,0,0,0,0,17,20,0.0652,18,20
1976.8333,1976,40,5565,5728,20,20,0,0,0,0,0,0,20,20,0.0650,20,20
1976.9167,1976,44,5598,5745,21,21,0,0,0,0,0,0,21,21,0.0654,21,21
1977.0000,1977,0,5602,5744,22,23,0,0,0,0,0,0,22,23,0.0653,22,23
1977.0833,1977,4,5614,5758,22,23,0,0,0,0,0,0,22,23,0.0652,22,23
1977.1667,1977,8,5634,5787,25,23,0,0,0,0,0,0,25,23,0.0653,25,23
1977.2500,1977,12,5650,5795,26,25,0,0,0,0,0,0,26,25,0.0651,26,25
1977.3333,1977,16,5676,5803,26,26,0,0,0,0,0,0,26,26,0.0648,26,26
1977.4167,1977,20,5702,5831,28,29,0,0,0,0,0,0,28,29,0.0652,28,28
1977.5000,1977,24,5705,5836,30,31,0,0,0,0,0,0,30,31,0.0659,30,30
1977.5833,1977,28,5721,5844,33,33,0,0,0,0,0,0,33,33,0.0661,33,32
1977.6667,1977,32,5736,5862,35,37,0,0,0,0,0,0,35,37,0.0661,35,36
1977.7500,1977,36,5740,5871,35,38,0,0,0,0,0,0,35,38,0.0659,35,37
1977.8333,1977,40,5763,5895,37,38,0,0,0,0,0,0,37,38,0.0661,37,37
1977.9167,1977,44,5806,5905,39,42,0,0,0,0,0,0,39,42,0.0656,39,40
1978.0000,1978,0,5811,5917,42,43,0,0,0,0,0,0,42,43,0.0650,42,42
1978.0833,1978,4,5834,5942,46,50,0,0,0,0,0,0,46,50,0.0648,45,49
1978.1667,1978,8,5858,5954,52,53,0,0,0,0,0,0,52,53,0.0649,51,52
1978.2500,1978,12,5863,5967,57,60,0,0,0,0,0,0,57,60,0.0650,56,58
1978.3333,1978,16,5888,5990,58,65,0,0,0,0,0,0,58,65,0.0647,57,62
1978.4167,1978,20,5911,6006,62,69,0,0,0,0,0,0,62,69,0.0648,61,65
1978.5000,1978,24,5927,6023,66,72,0,0,0,0,0,0,66,72,0.0653,66,68
1978.5833,1978,28,5941,6034,70,83,0,0,0,0,0,0,70,83,0.0655,71,79
1978.6667,1978,32,5974,6065,73,86,0,0,0,0,0,0,73,86,0.0653,74,82
1978.7500,1978,36,5998,6060,76,88,0,0,0,0,0,0,76,88,0.0650,77,84
1978.8333,1978,40,6009,6085,78,93,0,0,0,0,0,0,78,93,0.0649,79,89
1978.9167,1978,44,6039,6105,83,104,0,0,0,0,0,0,83,104,0.0647,84,100
1979.0000,1979,0,6050,6121,93,110,0,0,0,0,0,0,93,110,0.0650,93,106
1979.0833,1979,4,6060,6121,99,115,0,0,0,0,0,0,99,115,0.0647,99,113
1979.1667,1979,8,6080,6150,103,126,0,0,0,0,0,0,103,126,0.0643,104,124
1979.2500,1979,12,6080,6163,112,131,0,0,0,0,0,0,112,131,0.0645,113,129
1979.3333,1979,16,6102,6177,119,139,0,0,0,0,0,0,119,139,0.0644,120,137
1979.4167,1979,20,6134,6211,126,148,0,0,0,0,0,0,126,148,0.0641,127,146
1979.5000,1979,24,6141,6222,130,156,0,0,0,0,0,0,130,156,0.0646,131,153
1979.5833,1979,28,6152,6246,136,161,0,0,0,0,0,0,136,161,0.0647,138,159
1979.6667,1979,32,6170,6264,138,164,0,0,0,0,0,0,138,164,0.0648,140,162
1979.7500,1979,36,6183,6269,142,174,0,0,0,0,0,0,142,174,0.0645,144,171
1979.8333,1979,40,6206,6291,149,184,0,0,0,0,0,0,149,184,0.0641,151,180
1979.9167,1979,44,6224,6316,152,195,0,0,0,0,0,0,152,195,0.0641,157,192
1980.0000,1980,0,6229,6323,160,202,0,0,0,0,0,0,160,202,0.0639,167,199
1980.0833,1980,4,6239,6338,168,218,0,0,0,0,0,0,168,218,0.0640,176,215
1980.1667,1980,8,6260,6369,175,227,0,0,0,0,0,0,175,227,0.0639,184,224
1980.2500,1980,12,6267,6378,184,234,0,0,0,0,0,0,184,234,0.0638,193,231
1980.3333,1980,16,6307,6388,192,243,0,0,0,0,0,0,192,243,0.0641,201,241
1980.4167,1980,20,6328,6421,195,253,0,0,0,0,0,0,195,253,0.0646,205,253
1980.5000,1980,24,6339,6428,205,261,0,0,0,0,0,0,205,261,0.0652,216,262
1980.5833,1980,28,6351,6446,217,266,0,0,0,0,0,0,217,266,0.0653,229,266
1980.6667,1980,32,6380,6470,222,276,0,0,0,0,0,0,222,276,0.0655,234,276
1980.7500,1980,36,6394,6475,226,290,0,0,0,0,0,0,226,290,0.0654,238,290
1980.8333,1980,40,6399,6491,239,299,0,0,0,0,0,0,239,299,0.0655,252,300
1980.9167,1980,44,6413,6522,243,309,0,0,0,0,0,0,243,309,0.0655,257,310
1981.0000,1981,0,6421,6534,251,321,0,0,0,0,0,0,251,321,0.0654,264,323
1981.0833,1981,4,6437,6558,262,340,0,0,0,0,0,0,262,340,0.0654,276,341
1981.1667,1981,8,6464,6582,273,349,0,0,0,0,0,0,273,349,0.0650,288,350
1981.2500,1981,12,6486,6592,286,359,0,0,0,0,0,0,286,359,0.0648,301,362
1981.3333,1981,16,6510,6624,294,368,0,0,0,0,0,0,294,368,0.0650,309,370
1981.4167,1981,20,6541,6659,299,376,0,0,0,0,0,0,299,376,0.0656,315,379
1981.5000,1981,24,6538,6658,304,387,0,0,0,0,0,0,304,387,0.0653,323,393
1981.5833,1981,28,6551,6676,315,399,0,0,0,0,0,0,315,399,0.0652,335,406
1981.6667,1981,32,6588,6695,324,419,0,0,0,0,0,0,324,419,0.0656,344,422
1981.7500,1981,36,6594,6689,337,434,0,0,0,0,0,0,337,434,0.0654,360,439
1981.8333,1981,40,6617,6706,348,452,0,0,0,0,0,0,348,452,0.0656,371,456
1981.9167,1981,44,6653,6736,352,465,0,0,0,0,0,0,352,465,0.0657,377,471
1982.0000,1982,0,6672,6753,355,478,0,0,0,0,0,0,355,478,0.0658,382,483
1982.0833,1982,4,6688,6775,366,497,0,0,0,0,0,0,366,497,0.0656,394,501
1982.1667,1982,8,6720,6816,371,500,0,0,0,0,0,0,371,500,0.0655,402,505
1982.2500,1982,12,6721,6818,377,509,0,0,0,0,0,0,377,509,0.0653,410,518
1982.3333,1982,16,6743,6839,380,525,0,0,0,0,0,0,380,525,0.0651,416,531
1982.4167,1982,20,6772,6873,388,531,0,0,0,0,0,0,388,531,0.0645,424,541
1982.5000,1982,24,6789,6877,403,536,0,0,0,0,0,0,403,536,0.0645,441,547
1982.5833,1982,28,6800,6893,407,548,0,0,0,0,0,0,407,548,0.0649,452,561
1982.6667,1982,32,6830,6924,415,558,0,0,0,0,0,0,415,558,0.0644,460,570
1982.7500,1982,36,6841,6943,422,566,0,0,0,0,0,0,422,566,0.0648,469,579
1982.8333,1982,40,6862,6953,427,584,0,0,0,0,0,0,427,584,0.0648,477,596
1982.9167,1982,44,6890,6967,440,594,0,0,0,0,0,0,440,594,0.0649,491,607
1983.0000,1983,0,6900,6980,448,611,0,0,0,0,0,0,448,611,0.0651,499,624
1983.0833,1983,4,6906,6990,456,618,0,0,0,0,0,0,456,618,0.0647,509,635
1983.1667,1983,8,6935,7029,461,632,0,0,0,0,0,0,461,632,0.0653,516,650
1983.2500,1983,12,6953,7039,465,643,0,0,0,0,0,0,465,643,0.0653,520,663
1983.3333,1983,16,6973,7047,473,655,0,0,0,0,0,0,473,655,0.0653,531,677
1983.4167,1983,20,6997,7089,480,661,0,0,0,0,0,0,480,661,0.0652,541,687
1983.5000,1983,24,7001,7098,489,676,0,0,0,0,0,0,489,676,0.0653,552,701
1983.5833,1983,28,7025,7121,488,687,0,0,0,0,0,0,488,687,0.0653,556,714
1983.6667,1983,32,7050,7148,487,696,0,0,0,0,0,0,487,696,0.0648,560,728
1983.7500,1983,36,7061,7170,492,704,0,0,0,0,0,0,492,704,0.0651,569,737
1983.8333,1983,40,7077,7173,502,715,0,0,0,0,0,0,502,715,0.0646,581,749
1983.9167,1983,44,7109,7207,509,729,0,0,0,0,0,0,509,729,0.0647,589,761
1984.0000,1984,0,7120,7231,517,741,0,0,0,0,0,0,517,741,0.0646,599,771
1984.0833,1984,4,7158,7248,530,755,0,0,0,0,0,0,530,755,0.0648,612,787
1984.1667,1984,8,7179,7285,534,771,0,0,0,0,0,0,534,771,0.0641,622,801
1984.2500,1984,12,7198,7305,544,779,0,0,0,0,0,0,544,779,0.0640,636,812
1984.3333,1984,16,7212,7317,552,791,0,0,0,0,0,0,552,791,0.0643,644,826
1984.4167,1984,20,7248,7356,564,807,0,0,0,0,0,0,564,807,0.0643,657,841
1984.5000,1984,24,7272,7369,577,822,0,0,0,0,0,0,577,822,0.0649,674,859
1984.5833,1984,28,7279,7384,580,838,0,0,0,0,0,0,580,838,0.0651,678,877
1984.6667,1984,32,7309,7406,584,846,0,0,0,0,0,0,584,846,0.0651,689,887
1984.7500,1984,36,7323,7421,585,852,0,0,0,0,0,0,585,852,0.0653,696,897
1984.8333,1984,40,7357,7447,598,862,0,0,0,0,0,0,598,862,0.0652,709,909
1984.9167,1984,44,7382,7464,596,870,0,0,0,0,0,0,596,870,0.0653,714,918
1985.0000,1985,0,7387,7462,599,883,0,0,0,0,0,0,599,883,0.0652,723,935
1985.0833,1985,4,7402,7468,604,892,0,0,0,0,0,0,604,892,0.0646,730,948
1985.1667,1985,8,7429,7496,610,904,0,0,0,0,0,0,610,904,0.0645,740,963
1985.2500,1985,12,7440,7505,612,911,0,0,0,0,0,0,612,911,0.0641,745,975
1985.3333,1985,16,7455,7524,615,923,0,0,0,0,0,0,615,923,0.0638,753,993
1985.4167,1985,20,7494,7550,621,921,0,0,0,0,0,0,621,921,0.0642,765,997
1985.5000,1985,24,7510,7570,624,923,0,0,0,0,0,0,624,923,0.0635,771,1002
1985.5833,1985,28,7533,7606,629,928,0,0,0,0,0,0,629,928,0.0633,778,1013
1985.6667,1985,32,7554,7643,629,940,0,0,0,0,0,0,629,940,0.0634,785,1024
1985.7500,1985,36,7570,7662,635,951,0,0,0,0,0,0,635,951,0.0634,792,1039
1985.8333,1985,40,7587,7680,636,957,0,0,0,0,0,0,636,957,0.0634,801,1045
1985.9167,1985,44,7615,7712,640,966,0,0,0,0,0,0,640,966,0.0634,809,1055
1986.0000,1986,0,7631,7722,643,971,0,0,0,0,0,0,643,971,0.0637,815,1068
1986.0833,1986,4,7660,7745,644,977,0,0,0,0,0,0,644,977,0.0636,819,1078
