RANDOMSEED initial_adult_population_size initial_prop_13_17 initial_prop_18_22 initial_prop_23_30 initial_prop_31_40 initial_prop_41_50 initial_prop_51_60 initial_prop_61_and_older initial_low_risk_male initial_low_risk_female initial_med_not_low_risk_male initial_med_not_low_risk_female initial_prop_HIV_pos_low_risk_male initial_prop_HIV_pos_low_risk_female initial_prop_HIV_pos_med_risk_male initial_prop_HIV_pos_med_risk_female initial_prop_HIV_pos_high_risk_male initial_prop_HIV_pos_high_risk_female log_seed_multiplier n_years_HIV_seeding
1471674164 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.588972469402194 0.438424773755181 0.773444582269526 0.726696328453442 10e-05 10e-05 20e-05 20e-05 35e-05 35e-05 1.21877686000624 0
1877626567 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.584134657318097 0.52838218391614 0.719746287524171 0.703433604315629 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.836721157096764 5
882394470 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.505245878143836 0.511704433293328 0.738388982975284 0.612352901516233 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.52052081091159 5
2091844847 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.572620710968525 0.394334696043359 0.621610134013334 0.947618551022919 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.44864542369753 5
775484473 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.570172252408531 0.51569309043289 0.93139680575473 0.586417442446919 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.40376860489687 5
1947817650 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.513060649578551 0.592825892249442 0.889333954688716 0.7628492506676 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.5716625395235 5
1458680352 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.428667857647905 0.399981668642307 0.602184699018102 0.686363921487292 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.529302109655663 5
1835657134 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.599968537018346 0.436647745147683 0.537494872520818 0.874326924211751 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.924623739040997 5
1406233245 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.4880418704692 0.448253162792851 0.707779615618445 0.884374019338167 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.30284535376873 5
1745722606 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.376055754955645 0.368998035811803 0.588611653827281 0.864274322346124 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.37493691149509 5
706738107 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.451558145142008 0.596058113678549 0.745948543717504 0.519854313666978 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.948165527796491 5
2129818256 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.56830389530963 0.511115310372913 0.74473258135097 0.749438403290418 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.65315670555407 5
571947079 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.557355369892916 0.390795772393587 0.958026679733441 0.621967222947307 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.84015145123381 5
643773342 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.540669592935588 0.526419649319679 0.915663069667646 0.934842933810691 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.2758595197019 5
1858425849 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.430127058272265 0.430919899379981 0.571126844912283 0.858084393330869 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.125366340853978 5
792939177 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.509471054708747 0.525841820790854 0.846007443541475 0.966256902160431 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.79196196054702 5
1731685551 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.365992873846593 0.583397965778821 0.884016687562316 0.599535092530727 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.15672494319401 5
1182450968 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.50535960535754 0.535220462203178 0.732157399572147 0.987767916364721 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.8796391160231 5
1475399831 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.567007110249797 0.315985911724354 0.659112917856748 0.889048550477851 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.64995517350047 5
1047777065 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.464857155838072 0.575233365036054 0.773247198975504 0.827221443872499 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.461586100878 5
292581682 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.535844871306916 0.538749842415051 0.642848538421922 0.824760713406533 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.985906560822799 5
138695158 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.584388218091858 0.427740924049442 0.520241953632082 0.752694499454673 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.172301735627567 5
227359374 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.588431217941165 0.315720608159693 0.568223209901766 0.968952275922531 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.61174119526283 5
790923486 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.576716028925599 0.525744201734314 0.699487411116249 0.853242679311473 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.63151838638638 5
562144971 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.472564825399475 0.529280452886749 0.730941606022081 0.919463491859262 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.96762512239678 5
1716654488 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.591139060175222 0.503284214876399 0.732517439482189 0.742731372997433 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.53079250892537 5
250357053 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.495207470405598 0.532047404753837 0.842249300757126 0.531157001791785 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.55689683821192 5
1367533666 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.523904595322976 0.384142839041034 0.894372003516688 0.85989239552586 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.02321340382458 5
701560074 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.578611425982819 0.576834900359062 0.573500204252521 0.856822314197746 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.402088258301923 5
1465680979 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.573942731139314 0.566613224477304 0.611887672317331 0.966313744444944 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.76061010898423 5
1841978978 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.378149831474379 0.510193086229143 0.663358543932302 0.650574874013426 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.13226443050612 5
402479195 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.593905852698122 0.377340555959433 0.680945128580219 0.899641493721064 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.99858235320146 5
1340868273 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.496516047237357 0.56053714769537 0.854120865524068 0.56239757189412 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.540136438224359 5
1947946753 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.440845618115233 0.492537078958672 0.879469544548661 0.562718159465917 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.41326088843359 5
1642291797 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.569165589520489 0.464350068695745 0.74608445614206 0.916161663384179 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.04820680008026 5
784964073 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.543863412992504 0.435385885526982 0.800522753353706 0.583298789174281 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.35435519706454 5
883045976 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.304634732775986 0.552526070724165 0.850527654725036 0.673804199465953 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.10621226983112 5
153763153 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.491767662454882 0.434863912013343 0.875334142073759 0.856385077571511 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.08800474634932 5
1457931717 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.514913635165218 0.540885881531908 0.826608652324914 0.60627130509786 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.63945789316535 5
2028348972 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.57923341087399 0.55921792640876 0.884918238474727 0.758199106733733 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.372585225451284 5
1385138886 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.567527860483142 0.460980819616452 0.641204409725309 0.663954796776025 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.39848691639314 5
419209035 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.568413994699549 0.355021175423637 0.801780013646942 0.938433521417662 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.43226484122145 5
2032802584 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.477762579913936 0.581580300159551 0.891977037257736 0.543851033761171 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.26329172396291 5
1082889673 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.466736654040496 0.459836052500179 0.754356143339618 0.941581291815543 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.55239944023278 5
1728139587 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.580953650833656 0.505516479985049 0.749116863774005 0.653438673983715 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.47170664747951 5
741051544 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.462001012551227 0.578026077940888 0.989586396349232 0.821606467969048 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.56289167614321 5
131733614 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.463631160218434 0.567891878068294 0.794237497254383 0.504145875844712 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.95318000731633 5
436702670 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.375596865158707 0.368065135040213 0.688827110527251 0.777985339965776 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.863267912116667 5
890011425 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.575247347542839 0.492613323979136 0.682881643013283 0.7209033647934 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.362902942832901 5
1859148187 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.5159314559759 0.560508971375847 0.556649671069762 0.722245951964252 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.774192633228 5
1893100359 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.504360751820563 0.567772025606934 0.699766154603512 0.83860158464208 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.25186505818501 5
487619440 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.301543736401543 0.525681524147015 0.75582703730945 0.681376854402491 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.61894919448587 5
1766744463 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.537759204816424 0.597781223783436 0.549179792457372 0.615825530114833 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.939831542513075 5
1731886122 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.469051742636361 0.44549383375016 0.668082186050189 0.848513357231067 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.06577340866102 5
446894644 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.477966414513349 0.485371270106265 0.811444496496979 0.585980352484903 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.59490171705553 5
2055475516 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.460615017604627 0.453977130500852 0.820728537458904 0.877100738049761 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.74731713183853 5
1355447650 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.587439510563336 0.546297148160069 0.641307980347055 0.811835843528459 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.66168953503182 5
1282999260 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.425753246554994 0.311578673374955 0.640378674472909 0.721831260748263 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.89483381584294 5
1950594740 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.380521074679114 0.35087405763333 0.594910246409516 0.925855613004167 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.25146351192547 5
933264549 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.527292481112595 0.529116035193867 0.507174361579778 0.900595677371359 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.96985891706255 5
903666217 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.447142348925471 0.574895698731752 0.815595496181144 0.840681585059185 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.9256301606933 5
1406817034 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.501083478058524 0.512723623473067 0.814797907044805 0.520609684232386 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.67379051595297 5
1737004548 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.369691452944236 0.524988913603096 0.517303431187862 0.546938260444854 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.2167600265859 5
1346588672 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.504656475438718 0.367971850733566 0.656033754609866 0.630404081199664 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.921742610267246 5
1763956895 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.386960493065169 0.478138618769349 0.80565290967855 0.820131157697812 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.35676344975024 5
161421719 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.370059698966341 0.482013451543329 0.812312078537628 0.821423228603036 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.67974511989804 5
352962441 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.463958556205135 0.578867242223003 0.667314543123529 0.667363364794285 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.26811051361974 5
1678918984 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.477718580806629 0.529418921870872 0.582084270457509 0.806635744111614 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.81627246450812 5
851830819 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.446380856653346 0.517502102282264 0.652047013671419 0.770977587653528 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.2989694544385 5
1677992715 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.565040720548397 0.527808499156707 0.909525386312422 0.596584962813982 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.06955451461524 5
1565825034 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.570762778310637 0.331598859781235 0.581027541714466 0.903488567480774 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.90578730649572 5
487845735 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.573266182307606 0.316565713032702 0.624742395993619 0.832914017457184 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.92012588707556 5
1932780942 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.435567304563615 0.564081377417534 0.559272130499221 0.840411933311612 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.27247408560092 5
754895672 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.536907890753235 0.498231869751252 0.659515109085369 0.741411323868183 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.34463571637856 5
